,d
1664,-35105.5
1665,-37657.5
1666,-38272.5
1667,-38030.5
1668,-37494.5
1669,-36177.0
1670,-35399.0
1671,-34904.5
1672,-35914.5
1673,-38295.0
1674,-41662.0
1675,-40975.0
1676,-38454.0
1677,-35715.5
1678,-33087.0
1679,-30739.5
1680,-30348.5
1681,-29112.0
1682,-27822.5
1683,-26608.0
1684,-25548.0
1685,-25539.5
1686,-26332.5
1687,-27700.5
1688,-30726.0
1689,-33709.5
1690,-35171.0
1691,-35808.5
1692,-35951.5
1693,-35031.0
1694,-34194.5
1695,-34096.5
1696,-35287.5
1697,-37513.0
1698,-41344.5
1699,-41165.0
1700,-38976.5
1701,-36117.5
1702,-32736.0
1703,-29557.5
1704,-29086.5
1705,-28455.5
1706,-27642.5
1707,-26674.0
1708,-26277.0
1709,-27845.0
1710,-33363.0
1711,-39566.0
1712,-41791.5
1713,-42953.0
1714,-43266.0
1715,-43523.0
1716,-43293.5
1717,-42576.5
1718,-42087.5
1719,-41755.5
1720,-43327.5
1721,-44941.5
1722,-47638.0
1723,-46790.0
1724,-43921.0
1725,-40158.5
1726,-35608.0
1727,-31719.5
1728,-31105.5
1729,-30139.0
1730,-29176.5
1731,-28316.0
1732,-27705.0
1733,-29130.0
1734,-34418.5
1735,-40268.5
1736,-42422.5
1737,-43395.5
1738,-43606.5
1739,-43947.5
1740,-43938.0
1741,-43526.5
1742,-43043.5
1743,-42839.0
1744,-44416.0
1745,-45779.0
1746,-48281.5
1747,-47437.0
1748,-44600.0
1749,-40620.0
1750,-36206.5
1751,-32269.5
1752,-31440.5
1753,-30558.0
1754,-29678.5
1755,-28670.5
1756,-28042.0
1757,-29449.5
1758,-34498.5
1759,-40552.5
1760,-42943.0
1761,-43840.5
1762,-43882.0
1763,-44021.5
1764,-43800.0
1765,-42913.5
1766,-42189.0
1767,-41768.0
1768,-43296.0
1769,-44286.0
1770,-47320.0
1771,-47450.0
1772,-44572.5
1773,-40886.5
1774,-36778.5
1775,-32556.5
1776,-31705.0
1777,-30935.0
1778,-30164.0
1779,-29233.5
1780,-28529.0
1781,-29818.5
1782,-34720.0
1783,-40744.5
1784,-42960.5
1785,-43861.5
1786,-43509.0
1787,-43467.0
1788,-43335.5
1789,-42679.5
1790,-42227.5
1791,-42201.5
1792,-43759.5
1793,-45134.0
1794,-47417.0
1795,-46882.0
1796,-44088.5
1797,-40292.0
1798,-36200.0
1799,-32259.0
1800,-31341.5
1801,-30288.0
1802,-29297.5
1803,-28241.5
1804,-27487.5
1805,-28704.0
1806,-33450.0
1807,-39325.5
1808,-41618.5
1809,-42532.5
1810,-42619.5
1811,-42984.0
1812,-42777.5
1813,-41988.5
1814,-41448.0
1815,-41464.0
1816,-42905.5
1817,-44054.5
1818,-45932.0
1819,-44831.0
1820,-42061.0
1821,-38528.5
1822,-34994.0
1823,-31736.0
1824,-31200.5
1825,-30158.0
1826,-28889.5
1827,-27542.0
1828,-26549.5
1829,-26698.0
1830,-28400.5
1831,-31184.0
1832,-34805.0
1833,-37114.5
1834,-37573.0
1835,-37663.0
1836,-37633.5
1837,-36887.0
1838,-36240.0
1839,-36082.0
1840,-37108.5
1841,-39356.0
1842,-41573.0
1843,-41450.0
1844,-39020.0
1845,-36445.5
1846,-33975.0
1847,-31394.0
1848,-30777.0
1849,-29603.5
1850,-28428.5
1851,-27076.0
1852,-26186.0
1853,-26202.5
1854,-26770.5
1855,-28241.0
1856,-31392.0
1857,-34433.5
1858,-35971.0
1859,-36498.0
1860,-36658.5
1861,-36056.0
1862,-35517.5
1863,-35186.5
1864,-35913.0
1865,-36976.0
1866,-39917.5
1867,-41163.0
1868,-39857.5
1869,-37101.0
1870,-33802.5
1871,-30420.0
1872,-29971.5
1873,-29506.5
1874,-28840.5
1875,-28001.5
1876,-27578.0
1877,-29038.5
1878,-33835.5
1879,-39790.0
1880,-41890.0
1881,-42570.5
1882,-42474.0
1883,-42492.5
1884,-42425.5
1885,-41869.5
1886,-41480.0
1887,-41076.0
1888,-42430.5
1889,-43579.5
1890,-46156.0
1891,-46534.0
1892,-43371.5
1893,-39899.0
1894,-35170.5
1895,-31123.5
1896,-30583.5
1897,-29906.0
1898,-28987.0
1899,-28073.5
1900,-27485.0
1901,-28909.5
1902,-33567.5
1903,-39361.5
1904,-41292.5
1905,-42103.5
1906,-41751.5
1907,-41613.5
1908,-41614.5
1909,-41084.5
1910,-40699.0
1911,-40773.5
1912,-42277.5
1913,-43023.5
1914,-45147.5
1915,-45943.5
1916,-43589.5
1917,-39739.0
1918,-35453.0
1919,-31647.5
1920,-30776.5
1921,-30021.5
1922,-29015.0
1923,-28103.0
1924,-27535.0
1925,-28989.5
1926,-33576.0
1927,-39414.0
1928,-41395.5
1929,-42150.0
1930,-42084.5
1931,-42147.0
1932,-41875.5
1933,-41220.5
1934,-40802.0
1935,-40620.0
1936,-41782.0
1937,-42618.0
1938,-44595.0
1939,-45806.5
1940,-43375.0
1941,-39689.5
1942,-35513.5
1943,-31670.0
1944,-30761.5
1945,-30017.0
1946,-28854.0
1947,-27925.0
1948,-27424.0
1949,-28679.0
1950,-33319.5
1951,-39124.0
1952,-41019.0
1953,-41538.0
1954,-41349.0
1955,-41332.5
1956,-40861.0
1957,-40373.5
1958,-39748.0
1959,-39613.0
1960,-40997.5
1961,-42007.0
1962,-44237.5
1963,-45179.5
1964,-42634.5
1965,-38958.0
1966,-34913.0
1967,-31187.5
1968,-30254.5
1969,-29487.0
1970,-28418.5
1971,-27530.5
1972,-27153.0
1973,-28442.5
1974,-32820.0
1975,-38651.0
1976,-40859.0
1977,-41527.5
1978,-41279.5
1979,-41091.0
1980,-40553.5
1981,-39540.0
1982,-38883.5
1983,-38465.5
1984,-39422.5
1985,-40404.5
1986,-42383.0
1987,-43327.0
1988,-40727.5
1989,-37421.0
1990,-34046.5
1991,-30891.0
1992,-29887.5
1993,-28667.0
1994,-27125.5
1995,-26057.0
1996,-25462.0
1997,-25749.0
1998,-27184.5
1999,-30312.5
2000,-33982.0
2001,-35949.0
2002,-36193.5
2003,-35756.0
2004,-34955.5
2005,-33813.0
2006,-32659.0
2007,-32391.0
2008,-33236.5
2009,-35263.5
2010,-38130.5
2011,-38975.0
2012,-36787.5
2013,-34359.0
2014,-31947.0
2015,-29280.0
2016,-28265.5
2017,-27060.0
2018,-25849.0
2019,-24840.0
2020,-24572.0
2021,-25190.5
2022,-26367.5
2023,-28842.0
2024,-31718.0
2025,-33553.5
2026,-34437.5
2027,-34434.0
2028,-33375.5
2029,-32515.0
2030,-32151.0
2031,-32721.0
2032,-33813.5
2033,-34645.0
2034,-36467.5
2035,-38442.0
2036,-36246.5
2037,-32738.0
2038,-28615.0
2039,-28615.0
2040,-25904.5
2041,-26480.0
2042,-26421.0
2043,-25930.5
2044,-25690.0
2045,-26899.5
2046,-32104.0
2047,-38637.0
2048,-40898.0
2049,-41409.5
2050,-41084.5
2051,-40813.0
2052,-40330.0
2053,-39496.0
2054,-38955.0
2055,-38662.5
2056,-39500.5
2057,-39819.5
2058,-39455.5
2059,-40387.5
2060,-41861.5
2061,-38914.5
2062,-34632.0
2063,-29954.5
2064,-27140.0
2065,-27509.0
2066,-27269.5
2067,-26620.5
2068,-26391.0
2069,-27681.0
2070,-32713.0
2071,-38966.5
2072,-40960.0
2073,-41105.0
2074,-40423.0
2075,-40105.5
2076,-39764.0
2077,-39043.5
2078,-38634.5
2079,-38302.5
2080,-39375.0
2081,-39828.0
2082,-39214.0
2083,-39858.5
2084,-41473.0
2085,-38816.5
2086,-34620.0
2087,-29962.0
2088,-27041.5
2089,-27260.0
2090,-26967.0
2091,-26360.5
2092,-26117.5
2093,-27405.5
2094,-32518.0
2095,-38635.5
2096,-40401.5
2097,-40593.5
2098,-40122.0
2099,-39886.5
2100,-39391.0
2101,-38638.5
2102,-38267.5
2103,-38078.5
2104,-39146.5
2105,-39496.0
2106,-38699.0
2107,-39592.0
2108,-41238.5
2109,-38286.5
2110,-34074.0
2111,-29510.0
2112,-26696.0
2113,-26804.0
2114,-26309.5
2115,-25622.0
2116,-25311.5
2117,-26611.0
2118,-31692.5
2119,-37758.5
2120,-39644.0
2121,-39983.5
2122,-39729.5
2123,-39674.0
2124,-39289.0
2125,-38533.5
2126,-37988.0
2127,-37888.0
2128,-38958.0
2129,-39257.0
2130,-38582.0
2131,-39255.0
2132,-40756.5
2133,-38035.0
2134,-33919.5
2135,-29563.5
2136,-26519.5
2137,-26670.5
2138,-26203.0
2139,-25670.5
2140,-25372.0
2141,-26634.5
2142,-31413.0
2143,-37429.0
2144,-39771.5
2145,-40311.0
2146,-40188.5
2147,-39904.5
2148,-39466.0
2149,-38641.0
2150,-37857.5
2151,-37148.0
2152,-37569.0
2153,-37811.0
2154,-37419.5
2155,-37674.0
2156,-38893.0
2157,-36344.5
2158,-32945.0
2159,-29396.5
2160,-26511.0
2161,-26591.5
2162,-25991.0
2163,-25214.5
2164,-24548.5
2165,-24590.0
2166,-26350.5
2167,-29353.0
2168,-32985.5
2169,-35276.0
2170,-35949.5
2171,-35977.0
2172,-35741.5
2173,-34737.0
2174,-33933.5
2175,-33375.0
2176,-34012.5
2177,-35376.0
2178,-35713.0
2179,-35892.5
2180,-36629.0
2181,-34819.0
2182,-32314.0
2183,-29220.5
2184,-26595.5
2185,-26738.0
2186,-26420.0
2187,-25670.0
2188,-24982.5
2189,-24821.0
2190,-25451.0
2191,-27294.5
2192,-30006.5
2193,-32488.0
2194,-33705.5
2195,-34049.0
2196,-33957.0
2197,-33056.5
2198,-32193.5
2199,-31883.5
2200,-32626.5
2201,-33603.5
2202,-33954.5
2203,-34925.5
2204,-37385.0
2205,-35259.5
2206,-32112.0
2207,-28318.0
2208,-25960.5
2209,-26650.5
2210,-26736.5
2211,-26194.0
2212,-25899.0
2213,-27040.5
2214,-31507.5
2215,-36921.0
2216,-40297.0
2217,-41649.5
2218,-41574.5
2219,-41502.0
2220,-41336.0
2221,-40808.5
2222,-40455.0
2223,-40248.5
2224,-40846.5
2225,-41638.5
2226,-41411.5
2227,-41432.5
2228,-41970.5
2229,-38877.5
2230,-34869.5
2231,-30444.5
2232,-27656.5
2233,-28175.0
2234,-28176.5
2235,-27514.5
2236,-27043.5
2237,-28051.5
2238,-32116.0
2239,-37225.0
2240,-40563.5
2241,-41763.5
2242,-41900.5
2243,-42079.0
2244,-42079.0
2245,-41459.5
2246,-41087.0
2247,-40896.0
2248,-41751.5
2249,-42453.0
2250,-42433.5
2251,-42243.0
2252,-42325.5
2253,-39184.0
2254,-35028.0
2255,-30787.0
2256,-27881.0
2257,-28463.0
2258,-28637.5
2259,-28053.0
2260,-27706.5
2261,-28459.5
2262,-32801.0
2263,-38053.0
2264,-41533.5
2265,-43069.0
2266,-43664.5
2267,-43726.0
2268,-43498.0
2269,-42954.0
2270,-42514.5
2271,-42470.5
2272,-42921.0
2273,-43153.5
2274,-42653.5
2275,-42344.0
2276,-42989.0
2277,-40063.0
2278,-35824.5
2279,-31479.0
2280,-28242.0
2281,-29091.0
2282,-29306.0
2283,-28745.0
2284,-28262.0
2285,-29042.0
2286,-32949.5
2287,-38170.5
2288,-41660.0
2289,-43187.0
2290,-43169.0
2291,-43106.5
2292,-42845.0
2293,-42111.5
2294,-41496.5
2295,-40789.5
2296,-40767.0
2297,-40949.5
2298,-40584.5
2299,-40567.0
2300,-41810.0
2301,-39410.5
2302,-35539.5
2303,-31634.5
2304,-28697.5
2305,-29139.5
2306,-29293.0
2307,-28578.5
2308,-27803.5
2309,-27933.0
2310,-29398.5
2311,-32109.0
2312,-34695.5
2313,-36492.5
2314,-37141.5
2315,-36971.5
2316,-36621.5
2317,-35860.5
2318,-35365.5
2319,-35153.0
2320,-35998.5
2321,-37729.0
2322,-37848.5
2323,-37688.5
2324,-38090.0
2325,-36073.0
2326,-33057.5
2327,-29739.5
2328,-26960.5
2329,-27573.0
2330,-27461.0
2331,-26748.0
2332,-25891.0
2333,-25706.5
2334,-26742.0
2335,-29296.5
2336,-32561.5
2337,-34793.0
2338,-35718.0
2339,-35921.0
2340,-35740.0
2341,-34851.5
2342,-34233.0
2343,-34006.0
2344,-34606.0
2345,-35850.0
2346,-35845.5
2347,-35839.0
2348,-36564.0
2349,-34803.5
2350,-32359.0
2351,-29340.5
2352,-26657.5
2353,-26933.0
2354,-26745.0
2355,-25918.5
2356,-24946.5
2357,-24611.0
2358,-24768.0
2359,-26401.5
2360,-28880.0
2361,-31476.0
2362,-33302.0
2363,-34215.0
2364,-34979.0
2365,-33883.0
2366,-32912.0
2367,-32382.0
2368,-32649.0
2369,-33124.0
2370,-33213.0
2371,-33454.5
2372,-34687.0
2373,-33113.5
2374,-30804.0
2375,-27861.5
2376,-25390.5
2377,-25907.5
2378,-26030.5
2379,-25183.0
2380,-24389.0
2381,-24375.0
2382,-25295.5
2383,-27308.5
2384,-30056.0
2385,-32864.0
2386,-34894.5
2387,-35524.5
2388,-35850.0
2389,-35359.5
2390,-34914.0
2391,-34947.5
2392,-35926.0
2393,-37371.0
2394,-37588.0
2395,-37260.5
2396,-37364.0
2397,-35169.0
2398,-31913.5
2399,-28061.5
2400,-25258.0
2401,-26026.0
2402,-26058.5
2403,-25468.5
2404,-24953.0
2405,-25926.0
2406,-29398.0
2407,-34706.5
2408,-38135.0
2409,-39636.0
2410,-39828.5
2411,-39866.5
2412,-39896.5
2413,-39139.5
2414,-38704.5
2415,-38431.5
2416,-39005.5
2417,-39662.5
2418,-39347.5
2419,-39338.5
2420,-40582.5
2421,-38385.0
2422,-34505.5
2423,-30091.5
2424,-27314.5
2425,-28099.0
2426,-28181.0
2427,-27591.5
2428,-26960.5
2429,-28034.5
2430,-31465.0
2431,-36715.0
2432,-39749.0
2433,-40961.0
2434,-41043.0
2435,-41163.5
2436,-41088.5
2437,-40407.0
2438,-39905.0
2439,-39863.0
2440,-40351.0
2441,-41000.5
2442,-40750.5
2443,-40269.5
2444,-41001.5
2445,-38831.5
2446,-35247.5
2447,-30941.0
2448,-27952.5
2449,-28521.5
2450,-28614.5
2451,-27916.5
2452,-27314.5
2453,-28194.0
2454,-31471.5
2455,-36782.0
2456,-39983.5
2457,-41246.0
2458,-41179.5
2459,-41364.5
2460,-41325.0
2461,-40531.0
2462,-40062.5
2463,-39698.5
2464,-40155.5
2465,-40709.0
2466,-40434.5
2467,-39880.5
2468,-41017.5
2469,-38933.5
2470,-35112.0
2471,-30802.0
2472,-27885.0
2473,-28534.5
2474,-28586.0
2475,-27914.0
2476,-27328.5
2477,-28102.0
2478,-31426.0
2479,-36775.5
2480,-40175.0
2481,-41412.0
2482,-41270.5
2483,-41189.5
2484,-40831.5
2485,-39844.5
2486,-39290.5
2487,-38608.5
2488,-38899.0
2489,-39368.0
2490,-38979.0
2491,-38684.5
2492,-39357.5
2493,-37414.5
2494,-34199.5
2495,-30872.0
2496,-28167.5
2497,-28409.0
2498,-28131.5
2499,-27327.0
2500,-26493.0
2501,-26383.5
2502,-27534.5
2503,-30607.5
2504,-33571.0
2505,-35738.0
2506,-36213.0
2507,-36189.5
2508,-35847.5
2509,-34857.5
2510,-34142.0
2511,-33814.5
2512,-34010.0
2513,-35659.0
2514,-35883.0
2515,-35528.0
2516,-36280.0
2517,-35132.5
2518,-32688.0
2519,-29612.5
2520,-26978.5
2521,-27360.0
2522,-27180.0
2523,-26409.0
2524,-25649.0
2525,-25189.5
2526,-25337.5
2527,-27502.5
2528,-29912.0
2529,-32087.5
2530,-34134.5
2531,-34898.0
2532,-35433.5
2533,-34931.5
2534,-34348.0
2535,-34374.0
2536,-34996.5
2537,-35862.5
2538,-35851.5
2539,-35705.5
2540,-37469.5
2541,-36220.5
2542,-33150.5
2543,-29137.5
2544,-26643.0
2545,-27782.5
2546,-28190.0
2547,-27657.0
2548,-27254.5
2549,-28272.5
2550,-32732.0
2551,-39117.5
2552,-41460.0
2553,-42238.5
2554,-42103.5
2555,-42058.0
2556,-41931.5
2557,-41308.0
2558,-40892.0
2559,-40630.0
2560,-41684.0
2561,-42085.0
2562,-41549.5
2563,-40827.5
2564,-41660.5
2565,-39139.0
2566,-34825.5
2567,-30027.5
2568,-27140.5
2569,-27956.0
2570,-28152.5
2571,-27407.5
2572,-26941.0
2573,-28088.5
2574,-32525.0
2575,-39176.5
2576,-41431.0
2577,-42176.0
2578,-42245.5
2579,-42031.5
2580,-41772.5
2581,-40912.0
2582,-40354.5
2583,-40105.0
2584,-41439.0
2585,-41752.5
2586,-41046.0
2587,-40419.0
2588,-41277.5
2589,-39451.0
2590,-35194.5
2591,-30555.0
2592,-27689.5
2593,-28469.0
2594,-28688.0
2595,-28209.0
2596,-27691.5
2597,-28565.5
2598,-32930.5
2599,-39865.0
2600,-42252.0
2601,-43180.0
2602,-43446.0
2603,-43614.0
2604,-43642.5
2605,-42850.0
2606,-42507.5
2607,-42399.5
2608,-43555.5
2609,-43825.5
2610,-43069.5
2611,-42319.0
2612,-42203.5
2613,-39988.5
2614,-35694.5
2615,-30843.5
2616,-28012.5
2617,-28826.0
2618,-29046.5
2619,-28422.5
2620,-27878.5
2621,-28629.0
2622,-32964.0
2623,-39613.5
2624,-41754.5
2625,-42656.0
2626,-42930.0
2627,-42803.0
2628,-42780.5
2629,-42313.5
2630,-42140.5
2631,-41986.5
2632,-43245.0
2633,-43522.5
2634,-42706.5
2635,-41848.0
2636,-42083.5
2637,-40229.0
2638,-35938.5
2639,-31404.5
2640,-28494.0
2641,-29054.5
2642,-29436.0
2643,-28700.0
2644,-28173.5
2645,-28915.5
2646,-32850.0
2647,-39280.5
2648,-41413.0
2649,-41781.5
2650,-41660.0
2651,-42309.0
2652,-41588.5
2653,-41034.0
2654,-40397.0
2655,-39803.5
2656,-40562.5
2657,-40899.0
2658,-40367.5
2659,-39335.5
2660,-39272.5
2661,-37757.5
2662,-34506.0
2663,-30970.5
2664,-28216.5
2665,-28570.5
2666,-28417.5
2667,-27575.5
2668,-26766.5
2669,-26468.5
2670,-27665.0
2671,-31121.0
2672,-34316.0
2673,-36154.0
2674,-36726.5
2675,-36782.5
2676,-36519.5
2677,-35391.5
2678,-34657.5
2679,-34139.0
2680,-34722.5
2681,-36161.0
2682,-36292.0
2683,-35704.0
2684,-36050.5
2685,-35300.5
2686,-32875.0
2687,-29878.0
2688,-27265.0
2689,-27566.5
2690,-27267.0
2691,-26342.5
2692,-25428.0
2693,-24925.5
2694,-25167.5
2695,-27381.5
2696,-30087.5
2697,-32897.5
2698,-34853.0
2699,-35794.5
2700,-36260.0
2701,-35553.5
2702,-35033.5
2703,-35020.0
2704,-35864.5
2705,-36244.0
2706,-36168.5
2707,-36022.0
2708,-36504.5
2709,-36028.5
2710,-32951.0
2711,-28819.5
2712,-26333.5
2713,-27226.5
2714,-27454.0
2715,-26831.0
2716,-26313.5
2717,-27193.0
2718,-31889.5
2719,-38751.0
2720,-40983.5
2721,-41899.0
2722,-42305.0
2723,-42578.0
2724,-42732.0
2725,-42207.5
2726,-41938.0
2727,-41827.0
2728,-43080.5
2729,-43378.5
2730,-42676.0
2731,-42007.5
2732,-41690.0
2733,-39846.0
2734,-35470.5
2735,-31068.5
2736,-28358.0
2737,-29108.5
2738,-29277.0
2739,-28699.0
2740,-28147.5
2741,-28928.0
2742,-33221.0
2743,-39946.0
2744,-42033.5
2745,-42500.5
2746,-42400.0
2747,-42436.0
2748,-42383.5
2749,-41685.0
2750,-41360.0
2751,-41058.0
2752,-42132.5
2753,-42400.0
2754,-41436.0
2755,-40692.0
2756,-41231.0
2757,-39783.5
2758,-35871.5
2759,-31023.0
2760,-28131.0
2761,-28731.0
2762,-28751.0
2763,-27925.0
2764,-27255.0
2765,-28027.5
2766,-32533.0
2767,-39695.0
2768,-42243.5
2769,-43271.0
2770,-43635.5
2771,-44136.0
2772,-44131.5
2773,-43621.5
2774,-43134.5
2775,-43020.5
2776,-44105.0
2777,-44140.0
2778,-43093.5
2779,-42122.0
2780,-41945.0
2781,-40046.5
2782,-35852.5
2783,-31048.5
2784,-28129.0
2785,-28693.0
2786,-28801.5
2787,-28139.0
2788,-27577.5
2789,-28205.5
2790,-32474.0
2791,-39069.0
2792,-41247.5
2793,-41925.5
2794,-42082.0
2795,-42176.5
2796,-41999.5
2797,-41441.5
2798,-41122.5
2799,-40988.5
2800,-42253.0
2801,-42384.5
2802,-41501.5
2803,-40635.5
2804,-40788.0
2805,-39379.0
2806,-35265.5
2807,-30760.5
2808,-27848.5
2809,-28468.0
2810,-28517.0
2811,-27801.0
2812,-27286.0
2813,-27877.0
2814,-32315.0
2815,-38956.0
2816,-41186.5
2817,-41917.5
2818,-42135.5
2819,-42347.5
2820,-42035.0
2821,-41202.0
2822,-40542.5
2823,-40082.5
2824,-40820.5
2825,-41004.5
2826,-40090.5
2827,-39055.5
2828,-38807.5
2829,-37668.0
2830,-34248.5
2831,-30704.0
2832,-27939.0
2833,-28136.0
2834,-27740.5
2835,-26828.5
2836,-25931.0
2837,-25489.0
2838,-26942.0
2839,-30384.0
2840,-34098.5
2841,-36572.5
2842,-37418.0
2843,-37531.5
2844,-37310.5
2845,-36519.5
2846,-35902.0
2847,-35657.0
2848,-36365.0
2849,-37596.5
2850,-37394.5
2851,-36341.5
2852,-35871.0
2853,-35099.5
2854,-32710.0
2855,-29564.0
2856,-26832.5
2857,-27127.5
2858,-26794.5
2859,-25954.0
2860,-25143.5
2861,-24530.5
2862,-24963.5
2863,-27266.5
2864,-30331.0
2865,-33965.5
2866,-37185.0
2867,-38991.0
2868,-39675.5
2869,-39044.5
2870,-38450.5
2871,-38019.5
2872,-38365.5
2873,-38620.5
2874,-38020.0
2875,-37365.5
2876,-37672.5
2877,-36715.0
2878,-33254.5
2879,-29066.5
2880,-26432.5
2881,-27334.0
2882,-27675.5
2883,-27098.0
2884,-26588.0
2885,-27136.5
2886,-31846.0
2887,-38583.5
2888,-40654.0
2889,-41490.5
2890,-41510.0
2891,-41389.0
2892,-41102.0
2893,-40460.5
2894,-39964.0
2895,-39592.5
2896,-40752.0
2897,-41072.0
2898,-40227.0
2899,-39340.0
2900,-39246.5
2901,-38295.0
2902,-34505.0
2903,-29785.0
2904,-26942.5
2905,-27618.5
2906,-27698.0
2907,-26938.0
2908,-26372.5
2909,-27039.5
2910,-31619.0
2911,-38531.5
2912,-41018.5
2913,-41920.0
2914,-42123.5
2915,-42491.0
2916,-42241.0
2917,-41652.5
2918,-41360.5
2919,-41272.5
2920,-42382.0
2921,-42609.0
2922,-41495.5
2923,-40477.0
2924,-40181.5
2925,-39349.0
2926,-35197.5
2927,-30580.0
2928,-27835.0
2929,-28486.0
2930,-28455.5
2931,-27794.0
2932,-27290.5
2933,-27846.5
2934,-32363.5
2935,-39157.5
2936,-41307.5
2937,-41943.0
2938,-41927.0
2939,-41926.0
2940,-41772.0
2941,-41134.0
2942,-40586.0
2943,-40322.0
2944,-41372.5
2945,-41585.5
2946,-40763.5
2947,-40053.5
2948,-39946.5
2949,-38920.5
2950,-35141.5
2951,-30520.5
2952,-27529.0
2953,-27970.0
2954,-27899.0
2955,-27178.0
2956,-26747.5
2957,-27361.5
2958,-32034.0
2959,-38896.0
2960,-41573.0
2961,-42616.0
2962,-42897.5
2963,-43199.0
2964,-43258.5
2965,-42775.0
2966,-42531.5
2967,-42491.5
2968,-43537.5
2969,-43807.0
2970,-42934.0
2971,-41898.0
2972,-41183.0
2973,-39871.5
2974,-35712.5
2975,-31263.5
2976,-28314.0
2977,-28777.0
2978,-28689.0
2979,-27943.5
2980,-27375.0
2981,-27701.0
2982,-32101.0
2983,-38922.5
2984,-41454.5
2985,-42330.0
2986,-42453.5
2987,-42598.5
2988,-42443.0
2989,-41708.5
2990,-41149.5
2991,-40428.5
2992,-41118.5
2993,-41325.0
2994,-40512.5
2995,-39294.5
2996,-38415.0
2997,-37519.5
2998,-34282.0
2999,-30542.0
3000,-27900.0
3001,-28196.5
3002,-28057.5
3003,-27383.0
3004,-26479.5
3005,-25679.5
3006,-27289.0
3007,-30777.0
3008,-34026.0
3009,-36209.5
3010,-36840.0
3011,-36830.0
3012,-36611.5
3013,-35721.0
3014,-34945.0
3015,-34617.5
3016,-35139.0
3017,-36163.0
3018,-36174.5
3019,-35741.0
3020,-35579.5
3021,-35358.0
3022,-33131.5
3023,-30001.0
3024,-27415.0
3025,-27756.0
3026,-27490.5
3027,-26628.5
3028,-25855.0
3029,-24743.5
3030,-25246.5
3031,-27353.0
3032,-30093.5
3033,-32712.0
3034,-34530.5
3035,-35263.0
3036,-35723.5
3037,-34965.5
3038,-34380.5
3039,-34104.5
3040,-34511.5
3041,-34984.0
3042,-34801.0
3043,-34266.0
3044,-34379.0
3045,-34738.5
3046,-32619.0
3047,-29258.0
3048,-26576.0
3049,-27100.0
3050,-27069.5
3051,-26281.5
3052,-25542.0
3053,-24708.5
3054,-25974.5
3055,-28457.0
3056,-31128.5
3057,-33728.0
3058,-35352.0
3059,-36040.5
3060,-36536.0
3061,-36198.5
3062,-35911.0
3063,-35869.0
3064,-36740.0
3065,-37766.0
3066,-37714.5
3067,-37059.5
3068,-36959.0
3069,-36437.0
3070,-32717.5
3071,-28546.0
3072,-25955.5
3073,-26721.5
3074,-26932.0
3075,-26318.0
3076,-25847.0
3077,-26182.0
3078,-31080.0
3079,-37822.0
3080,-39944.5
3081,-40740.0
3082,-40843.0
3083,-41057.0
3084,-40953.5
3085,-40173.0
3086,-39633.0
3087,-39427.0
3088,-40403.0
3089,-40698.5
3090,-39740.5
3091,-38791.5
3092,-38380.0
3093,-38186.5
3094,-34733.0
3095,-30107.0
3096,-27413.0
3097,-27833.0
3098,-27716.0
3099,-27101.5
3100,-26590.5
3101,-26828.5
3102,-31445.0
3103,-37923.0
3104,-40198.5
3105,-40830.0
3106,-41006.5
3107,-41272.0
3108,-41537.5
3109,-41266.0
3110,-40978.0
3111,-41230.5
3112,-42603.0
3113,-42964.0
3114,-41988.5
3115,-40930.5
3116,-40123.5
3117,-38594.0
3118,-34539.5
3119,-30038.5
3120,-27096.0
3121,-27339.0
3122,-27033.0
3123,-26183.5
3124,-25582.0
3125,-25902.0
3126,-30354.0
3127,-36859.5
3128,-39053.5
3129,-40273.5
3130,-40625.0
3131,-40812.0
3132,-40954.5
3133,-40464.5
3134,-40229.5
3135,-40434.5
3136,-41616.5
3137,-41710.0
3138,-40762.5
3139,-39483.5
3140,-38270.0
3141,-37575.0
3142,-34054.5
3143,-29773.0
3144,-26800.5
3145,-27109.5
3146,-26745.0
3147,-26077.5
3148,-25520.0
3149,-25674.5
3150,-30300.5
3151,-36650.0
3152,-39074.0
3153,-39997.0
3154,-40040.5
3155,-40045.0
3156,-39760.5
3157,-38739.5
3158,-38016.5
3159,-37533.5
3160,-38353.0
3161,-38462.0
3162,-37582.5
3163,-36378.5
3164,-35499.0
3165,-35986.0
3166,-33381.5
3167,-29895.5
3168,-27058.0
3169,-26897.5
3170,-26380.0
3171,-25671.5
3172,-24915.5
3173,-24163.5
3174,-26063.0
3175,-29387.0
3176,-32539.5
3177,-34678.5
3178,-35024.5
3179,-34821.0
3180,-34227.5
3181,-33158.0
3182,-32121.5
3183,-31641.0
3184,-32190.0
3185,-33390.0
3186,-33480.0
3187,-32716.0
3188,-32076.0
3189,-32882.0
3190,-31404.0
3191,-28443.5
3192,-25826.5
3193,-25524.5
3194,-24904.5
3195,-24005.5
3196,-23293.5
3197,-22148.5
3198,-23093.0
3199,-25115.0
3200,-27861.0
3201,-30409.0
3202,-31984.0
3203,-32752.5
3204,-33310.5
3205,-32403.0
3206,-31580.5
3207,-31319.5
3208,-31759.0
3209,-32714.0
3210,-32920.5
3211,-32607.0
3212,-32671.5
3213,-33285.0
3214,-30599.5
3215,-26651.0
3216,-23885.5
3217,-24270.5
3218,-24207.0
