,Z1_1,Z1_2,Z1_3,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9
10,-22.38981361939487,-17.470199483367846,-181.54364764250008,-546.3569152682059,-4129.6553679601675,-2406.571044701709,-3113.1215157283477,-5442.107867468753,-892.2786304895807,-1995.9779462460133,-1425.6697892257519,-338.36668988239416,-456.3986845691327,-58.54595066538444,-1181.6318351618615,-166.68703139064672,-1149.1449259198127,-2508.8591956427153,-3934.722948934268
11,-24.350299844047985,-18.99991679193069,-197.4398862814897,-594.1967599554092,-4491.254289642907,-2617.2940753615007,-3385.7111831103853,-5918.627131479365,-970.4079080871331,-2170.7488190565427,-1550.5036100959735,-367.99459325275876,-496.3616493913369,-63.672323387365545,-1285.097320619932,-181.28240205450115,-1249.765808062587,-2728.538732786837,-4279.253290738006
12,-25.810204601278237,-20.13904317185898,-209.27725301189582,-629.8214003970236,-4760.524218365495,-2774.212063893982,-3588.6990680435024,-6273.4741748775095,-1028.5880180054326,-2300.894507117433,-1643.4629416433872,-390.05744507657454,-526.1206559700667,-67.48975185487738,-1362.1444084953396,-192.15105841013053,-1324.694620450918,-2892.126314943703,-4535.812851669601
13,-26.28276844925579,-20.50777266792072,-213.10894925395408,-641.3529178378225,-4847.685543809219,-2825.005629782823,-3654.40522834043,-6388.336383142265,-1047.4206277921903,-2343.0220136161593,-1673.5534110414114,-397.19907955895087,-535.7534971476749,-68.72543430405919,-1387.0841644222564,-195.66918796229817,-1348.948701226568,-2945.078794838389,-4618.859894806363
14,-26.475903239298788,-20.658470809789428,-214.6749468485344,-646.0657988788446,-4883.307998555784,-2845.7647393200014,-3681.2590503748265,-6435.280068259162,-1055.117433531126,-2360.239342359117,-1685.8512550562562,-400.11783452131345,-539.6903974550453,-69.2304523485074,-1397.2769342358658,-197.10703221405362,-1358.8612385870508,-2966.7202431431742,-4652.8008602622585
15,-26.94323713164655,-21.02311950510424,-218.46423696617458,-657.4696947827492,-4969.504692729776,-2895.9961629776612,-3746.238027870049,-6548.87107421901,-1073.7416191779512,-2401.9006155843413,-1715.608707401654,-407.180431151711,-549.2166301136917,-70.4524592607022,-1421.94067705371,-200.5862259450906,-1382.8468947533256,-3019.0866876872474,-4734.928805688415
16,-28.59254099632709,-22.310029169224855,-231.83731120229103,-697.7160580247469,-5273.708053863405,-3073.2717308821916,-3975.560318550631,-6949.753801087693,-1139.4696604495202,-2548.9306086214,-1820.6280136406078,-432.1055823293329,-582.8363880576766,-74.76513753195728,-1508.983382521961,-212.8649152516678,-1467.4965126383004,-3203.8971214698877,-5024.772833711188
17,-29.364333019980545,-22.912238765164428,-238.0952435628384,-716.5493505407077,-5416.060068382564,-3156.227862997879,-4082.8717234308297,-7137.3469412260165,-1170.22710852813,-2617.7333188398748,-1869.7718158353248,-443.76931105707166,-598.5687594987347,-76.78325606160915,-1549.7150313322454,-218.61072999852814,-1507.1083157074645,-3290.379195353226,-5160.40539586182
18,-28.58208108506751,-22.301867567730998,-231.75249895345505,-697.4608149509586,-5271.778791323941,-3072.1474464198304,-3974.105952947221,-6947.21139647788,-1139.0528121696552,-2547.998142074393,-1819.9619795353547,-431.94750662537524,-582.6231710197533,-74.73778645798329,-1508.4313563038156,-212.7870436094064,-1466.9596634195514,-3202.725050768662,-5022.9346382899785
19,-27.072865317613516,-21.124265066474536,-219.51530304996453,-660.6328857329131,-4993.413767772442,-2909.9292597076433,-3764.2617730265974,-6580.37873134776,-1078.9075603605638,-2413.456540291897,-1723.8627729203213,-409.1394407686157,-551.8589984050991,-70.79141721316552,-1428.781859114295,-201.551278083116,-1389.4999904285435,-3033.6119924488735,-4757.709298944112
20,-25.99287948006165,-20.281579712233828,-210.75843835764007,-634.2790383642573,-4794.217410572594,-2793.846888968799,-3614.098524474488,-6317.875455384597,-1035.8679754645034,-2317.1793693133827,-1655.0947515529792,-392.8181243349794,-529.8443392395136,-67.96741882535161,-1371.7851520908039,-193.5110310196246,-1334.0703085926516,-2912.5956925472606,-4567.9156217042855
21,-24.466853140940472,-19.09086035143368,-198.38493705423446,-597.0408970633376,-4512.75178651124,-2629.821816513531,-3401.916971262671,-5946.956782845849,-975.0527889199144,-2181.13916058034,-1557.9251329830752,-369.7560082397165,-498.73749638533997,-63.977092497361355,-1291.2484699078354,-182.1501146396998,-1255.747842214368,-2741.5989491719297,-4299.7360397171915
22,-23.0416902318224,-17.978842147895698,-186.8292681503196,-562.2640282596635,-4249.88976550902,-2476.6380585167503,-3203.759657798023,-5600.554154758866,-918.2572107883093,-2054.090593550581,-1467.1779861423938,-348.21819357547463,-469.686674968284,-60.25050866840597,-1216.034897685553,-171.54010338158156,-1182.6021361597407,-2581.9043161298514,-4049.2819135774707
23,-21.332241877399266,-16.64500327518541,-172.96852348339576,-520.5500173433824,-3934.5931447734615,-2292.89785495364,-2966.074764897833,-5185.052601383761,-850.1322919075168,-1901.6989178682293,-1358.328983798237,-322.38410710009566,-434.8409190562402,-55.780561721800495,-1125.8180414629674,-158.81365213200118,-1094.8656352669557,-2390.3544758151597,-3748.868261882747
24,-21.332989013917803,-16.645586246720686,-172.97458150116978,-520.5682489915101,-3934.7309492405657,-2292.978160986666,-2966.178648155219,-5185.234201713032,-850.1620667846498,-1901.7655226215875,-1358.3765576628978,-322.395398221807,-434.85614884466315,-55.7825153699415,-1125.8574719071203,-158.81921439216268,-1094.9039816397237,-2390.4381951509617,-3748.999561555691
25,-20.663554693304548,-16.123243751113858,-167.54659757566114,-504.23269226905035,-3811.258146714753,-2221.023955395518,-2873.0992495369624,-5022.520306685019,-823.4837768732903,-1842.087663613114,-1315.7503749267246,-312.27855316851173,-421.2102584175692,-54.03204663560648,-1090.5277939458279,-153.83542928743194,-1060.5456316397515,-2315.425670272481,-3631.355054598317
26,-19.870842847131925,-15.504710952186578,-161.11904071744166,-484.8889136055127,-3665.047607116664,-2135.8192543551068,-2762.8791134499425,-4829.842357327069,-791.8926322349506,-1771.4200203006244,-1265.2745045215015,-300.29867303285744,-405.0514529006641,-51.959225958006655,-1048.6920926992532,-147.93387125604875,-1019.8601301330887,-2226.5994549866905,-3492.046101605265
27,-18.906289601694745,-14.752094700145935,-153.29813977120097,-461.3518558725936,-3487.1420400844927,-2032.144165718754,-2628.765828164039,-4595.396332236482,-753.4532658559717,-1685.433283715871,-1203.8566452442697,-285.72183490361175,-385.38979604644715,-49.437066207977075,-997.7873892974358,-140.7529933875137,-970.3549628898261,-2118.517792466469,-3322.53822383521
28,-18.077715202632128,-14.105579267525432,-146.57979805982924,-441.1329580989241,-3334.3168860653773,-1943.084775093103,-2513.55929572247,-4394.001567073461,-720.4329271152377,-1611.5686122422135,-1151.097229335323,-273.1999809258166,-368.49996068523353,-47.270470419609296,-954.059026731506,-134.58444686837706,-927.8288354903076,-2025.6730490621885,-3176.926886540871
29,-18.109842072929414,-14.13064704354228,-146.84029282411146,-441.9169189684172,-3340.2424781508807,-1946.5379345132144,-2518.026275790087,-4401.810381232172,-721.713246831966,-1614.4326166365936,-1153.142905515742,-273.6854991594011,-369.1548415874265,-47.35447728967225,-955.7545358300947,-134.8236240553228,-929.477729519324,-2029.272980501669,-3182.5727724774406
30,-19.370634947968334,-15.114411509319645,-157.0631978177452,-472.68282518398735,-3572.787516390065,-2082.0543652443107,-2693.3292726297163,-4708.26093687924,-771.958351994264,-1726.8281379276639,-1233.423802131024,-292.7392670471642,-394.8551095514012,-50.65125852760789,-1022.2934103386673,-144.20993807790447,-994.1872335650296,-2170.5493596673346,-3404.1409705695937
31,-20.320619031293962,-15.855659816422415,-164.76596741739274,-495.8643657784152,-3748.0058963136944,-2184.1634862366595,-2825.4168343965835,-4939.1657555490165,-809.8171082691453,-1811.5160818219429,-1293.913971047368,-307.0959283030402,-414.219785531368,-53.135322138888,-1072.4292200794964,-151.28235187328968,-1042.9446465393198,-2276.99849513942,-3571.0885047172515
32,-21.677792517224738,-16.914627610250314,-175.77035670387318,-528.9821546024646,-3998.327710809386,-2330.039395228089,-3014.1207714390644,-5269.042753672216,-863.9031725816278,-1932.5036162961526,-1380.3318962039068,-327.6062508915567,-441.88469620192205,-56.68412398701249,-1144.0546218838354,-161.38619745670874,-1112.600832672075,-2429.074668623527,-3809.594360619115
