,Z12,Z9,Z7,Z16,Z1_4,Z14,Z15,Z1_1,Z13,Z10,Z11,Z8,Z1_3,Z17,Z4,Z5,Z6,Z1_2,Z2,Z3
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0019951446421617703,0.0,0.0,0.00023967087402564257,0.0,0.0026781695236605648,0.003707536412874746,0,0.00015871093659237983,0.0009964365898623901,0.0004297447399790211,0.0003104732446159368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.03242004697551947,0.02003894153357888,0.023046677049257263,0.005655562780376151,6.547959717522285e-05,0.003688754397506747,0.029293213680879206,0,0.009727248593489116,0.020227060093932717,0.009776500175289544,0.02734787656411661,2.7421671301484203e-05,0.015063917674401628,0.0016356510470168168,0.004260094592764285,0.0081695538999672,0.00011264816561348545,0.0020354756474299973,0.0015649672990079662
10,0.021561672677663245,0.0580803711600245,0.06316758048993035,0.020252957879184158,0.005954224893697793,0.02106884167714656,0.010962874715492827,0,0.02952993854434448,0.02743315746186524,0.02745242573521884,0.060818246640767314,0.006193210268112714,0.03701085472213287,0.01254101886382082,0.01900731504206038,0.02245820697731132,0.0060160939342351035,0.0118178482474356,0.01111492315239522
11,0.034315895750648924,0.06926534933752368,0.08727317735355407,0.03571771557022503,0.010408878592794815,0.05179515458943712,0.017614800271602487,0,0.04337681159611005,0.03762763627577685,0.03815331246198071,0.08406384963899917,0.012406430600653351,0.053849474840893384,0.030588214422841736,0.029848157179860026,0.04512678359223675,0.006129170991746574,0.01987552652545099,0.018760179314678053
12,0.04232394772802179,0.06743537017945153,0.08527405187596822,0.04421155372154987,0.009930408887628727,0.051403285398722326,0.046067998581697,0,0.04934097051691407,0.03750949833311496,0.041931768920697464,0.07008744421367054,0.012359095649976249,0.05923980125584692,0.03032722404146218,0.038892632173345563,0.04571115537831592,0.008095842562850267,0.023515372505599364,0.024467474634747632
13,0.030993836329241405,0.055625532716663054,0.05934245334489607,0.038193445103230285,0.006358176334364272,0.03749457873175895,0.03582816097041227,0,0.036175921444868274,0.030149507606503857,0.03326142136241001,0.04550869467681285,0.006708558207789481,0.0451148998854052,0.014495586785102776,0.03193183224199106,0.041536121022618375,0.007197392538482647,0.0182164714631836,0.01860277391205093
14,0.012620367903187416,0.025648265854230943,0.024606798165487862,0.02080954176154756,0.0011720360280025144,0.018608182930937453,0.017123110268418208,0,0.01744025055528509,0.014530032864588475,0.01471974126923306,0.01814513487878271,0.0005402989208805995,0.02225643550276292,0.004008963571976284,0.011615366510255024,0.01999273424351359,0.0035491669391080212,0.0053806738799207065,0.006201898383639451
15,1.6825511481793753e-05,0.0031707504736654736,8.50335855616689e-05,0.0014200275534975405,0.0,0.00011055709333061074,0.00040050655812128244,0,0.002515410098830279,0.0,0.0006334551538098986,0.0001751458817420055,0.0,0.0038325813058229866,0.0,0.0,5.7555815533966395e-05,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
