,Z12,Z9,Z7,Z16,Z1_4,Z14,Z15,Z1_1,Z13,Z10,Z11,Z8,Z1_3,Z17,Z4,Z5,Z6,Z1_2,Z2,Z3
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0016540791018959202,0.0,0.0,0.0001878527836881337,0.0,0.0022746118700483764,0.003206631524306723,0,0.0001148366872013746,0.0007528403167815303,0.0003161894464986,0.00020589365032948968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.029657098608706224,0.0181644959843692,0.02084564095955822,0.005030562888134303,3.551538440508794e-05,0.003223712033880571,0.026814251521364005,0,0.00874841759226559,0.018391481488252686,0.008786855517486527,0.02486624129196214,7.25399513236174e-06,0.01366914631561629,0.0012044862190357048,0.003720113920310375,0.007283413912376223,5.493228943175802e-05,0.0016862897359234913,0.0013451449146438287
10,0.019711320092538502,0.05336493258111662,0.057902811369097563,0.01855187542295796,0.005273348741870361,0.019290542842926292,0.00992865502117272,0,0.027100959477250143,0.02511245569383411,0.025146853591348682,0.05585529081686515,0.005488094449549926,0.034089379204163404,0.011327806561856332,0.017274748958180524,0.02046421522988439,0.005329576814495533,0.010650776504605549,0.010013738972002173
11,0.03142404562511806,0.0637577776210132,0.08035622515570047,0.03276335079414765,0.009360792200119029,0.04759742174666357,0.016006484855953167,0,0.03983308462106429,0.0344761326236832,0.034975742778413886,0.07743509206215862,0.01118552671358379,0.04958355685487433,0.02795577329072891,0.02726828108558907,0.04137893945217418,0.00543116364786584,0.01806038581111089,0.017046149528576797
12,0.0388161998306914,0.062015243809646126,0.07852001578413749,0.0405724483449177,0.00891463153884884,0.04721241535625331,0.04228629091633357,0,0.04528455056166107,0.03435273278576017,0.03843515482278568,0.06448108094177278,0.011141249364300826,0.05443849791430347,0.027696585838724586,0.035596351715312384,0.04189794156165762,0.0072270260243151065,0.02140546174310315,0.02229452338596327
13,0.028438648558758387,0.0511673668107077,0.05449503349836568,0.035159332450484374,0.00564635208529397,0.034486650439833955,0.03294640688375548,0,0.03323816707267413,0.02762256852731636,0.030514365453294112,0.04179176021121155,0.005962686030519486,0.04156579980096535,0.013131112638764738,0.029194374723573124,0.03807426034364268,0.006409117088174248,0.01653521090963677,0.016906222860815178
14,0.011421229064734093,0.023414786850956968,0.022376113776275082,0.01901223108121352,0.0009648060561695313,0.016961846444500515,0.015584550797206428,0,0.015891811136433502,0.0131659757318422,0.01335641552659252,0.016477116503242344,0.00036933786604366887,0.020387440037930967,0.003501610509814809,0.010461191455239388,0.01816290151636569,0.003073765656662321,0.004741042012146543,0.0055093206768483645
15,0.0,0.002457660657977621,8.480187951023612e-06,0.0009221143345680352,0.0,0.0,0.00022217199901844022,0,0.0020370379444260628,0.0,0.0003424092937037663,8.988669661838875e-05,0.0,0.0033377231700056644,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
