,Z12,Z9,Z7,Z16,Z1_4,Z14,Z15,Z1_1,Z13,Z10,Z11,Z8,Z1_3,Z17,Z4,Z5,Z6,Z1_2,Z2,Z3
2027,0.012000133195990659,0.037654203915087024,6.24580188105993e-05,0.10046556741445488,0.3968015168249964,0.0,0.0534954906293399,0.046933728783836566,0.13136298511034755,0.0,0.0,0.00012758250201297606,0.2202730731101077,0.17547154093733633,0.285091584552614,0.0133562060305358,0.07065820237240146,0.6329956554223731,0.007135483129676409,0.000604494505204546
2028,0.018908225490639138,0.03511292349723684,7.726834021172714e-05,0.10747985348002694,0.3810364651766248,0.0,0.07226575360648614,0.0401125296131507,0.11522432215148005,0.0,0.0,0.0002206165781362336,0.21596728342154672,0.18351651635238486,0.2757583513102023,0.0135375042703992,0.07251975759005823,0.608050406509775,0.007362082955298913,0.000949213878618675
2029,0.025613511435846108,0.03129216092813394,0.0001464544512852676,0.12285525596189055,0.3528016027039124,0.0,0.0913854757176313,0.02987639622026766,0.09937798612003007,0.0,0.0,0.0003771422360324326,0.2088784809643831,0.1908186458923901,0.26097996393717826,0.0135375042703992,0.06890361377509903,0.5729562049153981,0.008161306408494952,0.00145055892126965
2030,0.030025208297263625,0.02646139479429887,0.00041294613930820183,0.14478149388456385,0.3074711752724212,0.0,0.11021480184599726,0.02315787227820653,0.08569786002081077,0.0,0.0,0.0006490586597488156,0.2000808113881711,0.1954865109298252,0.2251073828982128,0.0146621597235222,0.06236062022766298,0.5214151725239382,0.010050850931261995,0.00258352052748977
2031,0.030977596044457437,0.019244817793340304,0.0010081546404528095,0.18509427975478976,0.23030893977772784,0.0,0.1267357795477204,0.02495505847732099,0.07399425484304434,0.0,0.0,0.0009765785939270632,0.19000850315756326,0.2134793137674041,0.1742430177530145,0.0111547542356061,0.053380959049805284,0.447100972946029,0.010717897464047369,0.00295902540877934
2032,0.0287109221717555,0.011898125596498109,0.0024426162677066627,0.2341929424062433,0.16555787932318225,0.0,0.13885655684413936,0.032872417540735506,0.0640371966013066,0.0,0.0,0.0013052196672136054,0.17300990696678878,0.23734080158916496,0.15018789382272152,0.006446244947207721,0.04107559917453036,0.372060694466239,0.009853404504222741,0.00337780646437755
2033,0.025587398331206268,0.009148704573628366,0.005907944818868199,0.2808065324143731,0.1448989619810619,0.0,0.15078025365429554,0.04380732763357195,0.06781463864816728,0.0,0.0,0.0017804486035538879,0.15691705194541325,0.2644581708527449,0.16489393230180313,0.00555293779582029,0.03697824000817857,0.3228884362175377,0.010194590215940458,0.004759186973364721
2034,0.02335723124370437,0.009481274014399185,0.010552676932440186,0.31785948877506753,0.15182711824657275,0.0,0.16158517880111173,0.0565753258738105,0.0850519173576705,0.0,0.0,0.0022151439789341427,0.14877695238374314,0.2966063784044652,0.19856808554897626,0.0052776487737516,0.03683536627841207,0.29809519723121497,0.010374247163685664,0.00583928946574585
2035,0.021238745760287392,0.01180967508996836,0.014288634846942788,0.3251108445965961,0.17401203438162344,0.0,0.1530540773464931,0.07243446851459298,0.1051217281884516,0.0,0.0,0.002286812122650807,0.151193306129825,0.3207737423437085,0.23174624739080202,0.0042817534469897,0.0348167492245602,0.2906176033981225,0.010967555226334596,0.00583928946574585
2036,0.02172241888612253,0.014986650460356441,0.015451699963238637,0.3043631670379736,0.19948646190274896,0.0,0.12915244360371428,0.09429972319166187,0.11856552139916345,0.0,0.0,0.0019457586784085927,0.15928241906448354,0.3272039163360789,0.2433797820257865,0.0030741167701556697,0.03104087019018012,0.28671545106827634,0.012248761004600608,0.00510013652103646
2037,0.029433160593205308,0.015394238387725141,0.01404163200936125,0.2749706597599205,0.23593459062168065,0.0,0.11402553622826313,0.11542716925802035,0.12521062934246036,0.0,0.0,0.00134558513705777,0.16301381535881965,0.3165144610889252,0.2391537030589357,0.0027393628954793803,0.02361103659444197,0.28449168022462923,0.015929416085886192,0.00536819910027066
2038,0.04113974810579152,0.015367662552657391,0.013127904803055321,0.23901152916727625,0.2574076958977956,0.0,0.10683613623343356,0.13534246908855085,0.13206639555535765,0.0,0.0,0.0011853001400875722,0.16873452006265807,0.3045271319223503,0.215486854928579,0.00290280914445042,0.016082072432357503,0.2823836220151337,0.02336598356455141,0.00687710047192611
2039,0.050034776105082855,0.016273542144866957,0.011998788172337776,0.2116930429301015,0.2506439855934818,0.0,0.1099836089671843,0.15360401165248555,0.13507303035754314,0.0,0.0,0.0013862828064500404,0.17412920097457255,0.2897017035551506,0.18239373640883924,0.00290280914445042,0.01064764355513998,0.2690330591069807,0.03039055631275395,0.00843035407720842
2040,0.05332204474021916,0.019546540194262454,0.009868400567786215,0.2001560314480237,0.22839637141659805,0.0,0.12045844049718255,0.16516602319385942,0.13789490867611756,0.0,0.0,0.0018052724772018144,0.16769050199971464,0.27720997378378753,0.1532436657541522,0.00224803401993791,0.008123447648178241,0.2397642210502917,0.033574257955773006,0.009368835523591171
2041,0.04991799269015989,0.02432556359622556,0.0068930217530981394,0.19822968522250967,0.20722850870149145,0.0,0.12774788803614734,0.1651341566166429,0.14212850413169553,0.0,0.0,0.002135785628756052,0.14700692732362375,0.2672724050021832,0.13677736019387512,0.0013296139286650599,0.007950853378074966,0.2097357972405859,0.0321259848484826,0.00895756816660468
2042,0.04039545875366509,0.02891049683082493,0.0043790467676055895,0.1966476939753649,0.1984580970899361,0.0,0.12373665124320925,0.15204389953663716,0.1463670204732553,0.0,0.0,0.0020268008001907358,0.12011983731025558,0.26052214111801003,0.13182779784530055,0.000751127856231671,0.00963786526498339,0.19449594738007725,0.027858199596632667,0.00768366949290164
2043,0.02969690432540622,0.033629294599116934,0.0025287471019874155,0.1996950110281448,0.17498244363240678,0.0,0.11034576932983024,0.1234091419879946,0.14470523530986534,0.0,0.0,0.0017125750407946093,0.0858860704452479,0.26204018308411026,0.11746251342204245,0.000448114359676683,0.012355388320375306,0.17843010663351966,0.017517316347299756,0.00603646813328592
2044,0.02527552137061708,0.038596620671928095,0.0010640944969052706,0.20568903433856672,0.1661877580839706,0.0,0.0998411514242182,0.09034387110076196,0.1427376871568812,0.0,0.0,0.001421093276018958,0.06252394957287022,0.26297003108453604,0.11348746609198047,0.000190751654603923,0.018005894084303534,0.18118661639575645,0.0065324233995239355,0.0031330111593316197
